epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5254,1.97813,4.25453,0.54302,2.14884,1.37844,0.53549,0.71353,0.6047,0.30512,0.5452,0.72229,0.61453,0.42566,1.58737,1.5367,0.35797,1.34468,1.06784,0.0702521,0.00330532,0.00330532
2,119.748,1.53624,1.53538,0.33562,1.32032,1.07782,0.59518,0.65011,0.62563,0.26766,0.58814,0.66269,0.62342,0.5327,1.73459,0.93411,0.17843,1.6321,1.14629,0.0402083,0.00659484,0.00659484
3,178.487,1.53487,1.1855,0.2647,1.31122,1.0786,0.58846,0.68288,0.64964,0.3668,0.58937,0.68393,0.65698,0.57618,1.42746,0.7628,0.121,1.26323,1.0668,0.0101205,0.00984036,0.00984036
4,237.018,1.51565,1.07608,0.22934,1.33615,1.0722,0.53519,0.59091,0.55432,0.27403,0.55325,0.59514,0.57235,0.53369,1.55488,0.59003,0.07303,1.94665,1.12068,0.009802,0.009802,0.009802
5,295.994,1.43958,0.90533,0.19774,1.24771,1.05365,0.62994,0.76321,0.74246,0.44361,0.65058,0.74207,0.74306,0.70139,1.25978,0.43477,0.05259,1.08411,1.01633,0.009736,0.009736,0.009736
6,355.144,1.37159,0.78988,0.17455,1.17724,1.02739,0.6338,0.71353,0.70556,0.4474,0.63568,0.71564,0.70567,0.66441,1.24155,0.55557,0.04179,1.23131,1.02734,0.00967,0.00967,0.00967
7,413.708,1.32009,0.71405,0.15625,1.13535,1.01778,0.69472,0.72409,0.74683,0.48627,0.69472,0.71987,0.74311,0.71786,1.15988,0.39962,0.04168,1.0461,0.97916,0.009604,0.009604,0.009604
8,472.181,1.29066,0.64123,0.15293,1.09866,1.00816,0.66376,0.77378,0.75555,0.49046,0.66508,0.78088,0.75797,0.72159,1.1736,0.38142,0.03091,1.02705,0.99717,0.009538,0.009538,0.009538
9,530.389,1.28115,0.61958,0.13445,1.08451,1.00244,0.71533,0.73044,0.7824,0.5253,0.72023,0.7241,0.77785,0.75523,1.12661,0.35427,0.02335,0.98379,0.96968,0.009472,0.009472,0.009472
10,588.642,1.26433,0.59135,0.12977,1.07098,0.99936,0.69519,0.75944,0.78347,0.56271,0.70571,0.75031,0.78193,0.76658,1.00141,0.28995,0.02345,0.9422,0.95174,0.009406,0.009406,0.009406
11,647.031,1.21518,0.58713,0.12432,1.04081,0.98243,0.67393,0.75264,0.7577,0.50601,0.68173,0.74267,0.75688,0.73127,1.14289,0.4005,0.02129,0.95966,1.00131,0.00934,0.00934,0.00934
12,705.267,1.22306,0.54792,0.11683,1.03044,0.99161,0.67098,0.81271,0.7844,0.54435,0.67098,0.81271,0.78759,0.7682,1.02525,0.32286,0.02281,0.90508,0.9502,0.009274,0.009274,0.009274
13,764.07,1.20164,0.54611,0.11164,1.0299,0.98364,0.65716,0.78858,0.7676,0.52763,0.65716,0.78858,0.76692,0.74909,1.07056,0.32574,0.01598,0.98033,0.96046,0.009208,0.009208,0.009208
14,822.679,1.20277,0.5465,0.1088,1.03803,0.98644,0.71613,0.79204,0.82336,0.59403,0.71799,0.78855,0.82088,0.81228,0.98601,0.20358,0.02028,0.86965,0.93399,0.009142,0.009142,0.009142
15,881.248,1.19134,0.53326,0.10376,1.01973,0.97699,0.69248,0.79915,0.80326,0.57561,0.68882,0.79493,0.79746,0.77747,1.01969,0.31966,0.01914,0.88739,0.94333,0.009076,0.009076,0.009076
16,939.958,1.16225,0.48964,0.10016,1.00683,0.97263,0.69965,0.76581,0.80573,0.57715,0.70081,0.76533,0.80348,0.7868,0.99022,0.22997,0.01613,0.88917,0.93435,0.00901,0.00901,0.00901
17,998.812,1.18207,0.50231,0.09395,0.98992,0.97375,0.72146,0.79403,0.83177,0.60489,0.72282,0.79393,0.82942,0.81466,0.94518,0.21634,0.01529,0.87177,0.93432,0.008944,0.008944,0.008944
18,1057.44,1.12931,0.46513,0.09079,0.98649,0.9709,0.68703,0.80973,0.81952,0.59318,0.69313,0.80761,0.81812,0.80144,0.97275,0.22537,0.01319,0.87227,0.92756,0.008878,0.008878,0.008878
19,1116.11,1.15877,0.46557,0.08613,0.98739,0.97143,0.69804,0.8203,0.82595,0.59745,0.7249,0.78753,0.82476,0.80513,0.98596,0.25693,0.01433,0.84434,0.94667,0.008812,0.008812,0.008812
20,1174.42,1.15522,0.46674,0.08083,0.97139,0.96706,0.74123,0.77817,0.83421,0.59926,0.74455,0.77484,0.82875,0.81687,0.9494,0.20555,0.01268,0.8588,0.92979,0.008746,0.008746,0.008746
21,1233.22,1.12225,0.46482,0.0818,0.95573,0.96339,0.74082,0.79164,0.83957,0.61967,0.74082,0.79164,0.83994,0.82998,0.93193,0.18961,0.01711,0.86628,0.92245,0.00868,0.00868,0.00868
22,1291.62,1.13391,0.42986,0.07705,0.95493,0.96563,0.71993,0.7611,0.80121,0.58468,0.72093,0.76216,0.79855,0.78966,0.96952,0.1963,0.0133,0.9946,0.93004,0.008614,0.008614,0.008614
23,1350.15,1.11312,0.44874,0.07991,0.95002,0.96155,0.75704,0.78064,0.85079,0.6199,0.75538,0.77801,0.84757,0.82979,0.91546,0.23023,0.01517,0.8165,0.91347,0.008548,0.008548,0.008548
