epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6398,1.61111,2.30268,1.21165,0.63289,0.39429,0.55854,0.31298,1.46063,2.27789,1.06329,0.0702521,0.00330532,0.00330532
2,120.877,1.56967,1.58988,1.11337,0.5704,0.65011,0.60891,0.33422,1.35287,1.58707,1.07632,0.0402083,0.00659484,0.00659484
3,180.118,1.58283,1.53636,1.11628,0.54312,0.64271,0.56259,0.30713,1.46253,1.5661,1.10613,0.0101205,0.00984036,0.00984036
4,239.675,1.56876,1.52559,1.11736,0.56606,0.64482,0.60894,0.33523,1.41919,1.45129,1.09005,0.009802,0.009802,0.009802
5,299.292,1.49747,1.3888,1.09862,0.64854,0.64957,0.67268,0.38169,1.42848,1.22398,1.09202,0.009736,0.009736,0.009736
6,358.43,1.41824,1.30925,1.06444,0.58204,0.72622,0.67084,0.38924,1.31285,1.24996,1.05529,0.00967,0.00967,0.00967
7,417.598,1.37724,1.24625,1.05786,0.63066,0.74185,0.69683,0.43345,1.17287,1.13133,0.98474,0.009604,0.009604,0.009604
8,476.88,1.33273,1.20295,1.03344,0.66801,0.81607,0.79252,0.52824,1.10976,1.02166,0.98678,0.009538,0.009538,0.009538
9,536.29,1.29994,1.16391,1.02177,0.69514,0.77484,0.79365,0.50541,1.1769,1.0028,0.99282,0.009472,0.009472,0.009472
10,595.645,1.29062,1.14076,1.01986,0.70361,0.75282,0.79815,0.56071,1.07294,0.98859,0.97584,0.009406,0.009406,0.009406
11,654.835,1.27277,1.11397,1.01386,0.72081,0.76427,0.81035,0.56047,1.04741,0.95059,0.9586,0.00934,0.00934,0.00934
12,714.509,1.24021,1.09435,1.01042,0.71305,0.76956,0.8039,0.5691,0.99441,0.94642,0.94281,0.009274,0.009274,0.009274
13,773.47,1.23169,1.0781,1.00701,0.72218,0.7529,0.78871,0.55307,1.06539,0.98331,0.9632,0.009208,0.009208,0.009208
14,832.828,1.23023,1.07188,1.00849,0.70287,0.78268,0.80512,0.57085,1.01874,0.90858,0.95841,0.009142,0.009142,0.009142
15,891.909,1.22425,1.05365,0.99891,0.72588,0.80336,0.82578,0.58902,1.00133,0.90002,0.94806,0.009076,0.009076,0.009076
16,951.294,1.18195,1.04681,0.9918,0.71954,0.80973,0.82712,0.5768,0.99478,0.88799,0.93719,0.00901,0.00901,0.00901
17,1010.64,1.21446,1.04115,0.99105,0.72117,0.80021,0.82362,0.54486,1.12284,0.89682,0.97702,0.008944,0.008944,0.008944
18,1070.17,1.16428,1.02936,0.98884,0.71961,0.79493,0.82097,0.60125,0.9648,0.87359,0.93403,0.008878,0.008878,0.008878
19,1129.68,1.18347,1.02174,0.98906,0.73026,0.76124,0.81514,0.59037,0.96729,0.87707,0.95117,0.008812,0.008812,0.008812
20,1188.95,1.17339,1.01507,0.98269,0.72269,0.82558,0.83773,0.6185,0.94742,0.84614,0.93669,0.008746,0.008746,0.008746
21,1248.32,1.15849,0.98526,0.98343,0.72905,0.80493,0.8473,0.61525,0.96646,0.8268,0.93138,0.00868,0.00868,0.00868
22,1307.56,1.14339,0.98682,0.9793,0.69483,0.84038,0.82204,0.59433,0.97336,0.9127,0.94681,0.008614,0.008614,0.008614
23,1367.08,1.15064,0.98604,0.97658,0.70162,0.82452,0.81696,0.60271,0.9429,0.83179,0.92702,0.008548,0.008548,0.008548
24,1426.5,1.12561,0.98361,0.97272,0.74699,0.76151,0.83943,0.60253,0.99034,0.84291,0.94131,0.008482,0.008482,0.008482
25,1485.94,1.13779,0.97366,0.97855,0.71232,0.78964,0.83026,0.62151,0.93203,0.83003,0.925,0.008416,0.008416,0.008416
26,1544.73,1.13972,0.96972,0.97333,0.72314,0.80973,0.82965,0.60538,0.92408,0.84445,0.92726,0.00835,0.00835,0.00835
27,1603.93,1.13067,0.97708,0.97325,0.73813,0.83129,0.85472,0.62972,0.9064,0.79383,0.9127,0.008284,0.008284,0.008284
28,1663.59,1.12276,0.97415,0.96789,0.73934,0.80057,0.85382,0.63816,0.90534,0.79922,0.9207,0.008218,0.008218,0.008218
29,1722.87,1.1285,0.95866,0.96989,0.73137,0.80761,0.84554,0.62747,0.89948,0.80853,0.9156,0.008152,0.008152,0.008152
30,1781.66,1.12082,0.96383,0.96838,0.74143,0.8396,0.84169,0.6344,0.89798,0.80022,0.92252,0.008086,0.008086,0.008086
31,1840.8,1.11738,0.95678,0.97254,0.70864,0.78672,0.83044,0.61882,0.92466,0.82758,0.91804,0.00802,0.00802,0.00802
32,1899.62,1.11405,0.94178,0.9669,0.75328,0.81975,0.85677,0.64241,0.88021,0.78927,0.91558,0.007954,0.007954,0.007954
33,1958.72,1.09056,0.94454,0.95728,0.71654,0.84249,0.84686,0.63736,0.87071,0.79739,0.90895,0.007888,0.007888,0.007888
34,2018.22,1.07805,0.92951,0.95768,0.74869,0.8062,0.84615,0.63298,0.89199,0.78796,0.91099,0.007822,0.007822,0.007822
35,2077.26,1.09917,0.9374,0.96646,0.74175,0.80233,0.84705,0.63775,0.87552,0.79171,0.91046,0.007756,0.007756,0.007756
36,2136.2,1.10032,0.93435,0.96124,0.71935,0.7833,0.80481,0.5859,0.96429,0.94788,0.92974,0.00769,0.00769,0.00769
37,2195.34,1.09361,0.93877,0.95609,0.77396,0.80021,0.86649,0.66217,0.85966,0.79327,0.90446,0.007624,0.007624,0.007624
38,2254.73,1.0758,0.91835,0.95594,0.74157,0.81902,0.85814,0.64762,0.87743,0.79923,0.90929,0.007558,0.007558,0.007558
39,2313.9,1.08833,0.92113,0.95824,0.76057,0.81712,0.85309,0.65024,0.8781,0.7707,0.90585,0.007492,0.007492,0.007492
40,2373.29,1.07709,0.9178,0.95607,0.74026,0.81501,0.8416,0.63339,0.90003,0.79838,0.9112,0.007426,0.007426,0.007426
41,2432.54,1.07061,0.90941,0.95605,0.70875,0.81032,0.82596,0.62601,0.86805,0.85408,0.91539,0.00736,0.00736,0.00736
42,2492.05,1.06997,0.90987,0.95405,0.76034,0.80824,0.85865,0.6566,0.85314,0.76871,0.90358,0.007294,0.007294,0.007294
43,2551.63,1.07021,0.91654,0.95965,0.77483,0.80444,0.86045,0.65037,0.87639,0.77722,0.91446,0.007228,0.007228,0.007228
44,2611.23,1.06051,0.90143,0.94535,0.7608,0.80655,0.86139,0.65508,0.86449,0.77985,0.90234,0.007162,0.007162,0.007162
45,2670.37,1.05701,0.91149,0.94665,0.73802,0.84249,0.86572,0.65781,0.86755,0.80749,0.9037,0.007096,0.007096,0.007096
46,2729.41,1.0598,0.89512,0.94904,0.7257,0.82875,0.8488,0.63227,0.91708,0.78005,0.91468,0.00703,0.00703,0.00703
47,2788.26,1.05157,0.90147,0.94863,0.69377,0.82135,0.83917,0.60386,0.96821,0.81043,0.9356,0.006964,0.006964,0.006964
48,2847.08,1.05333,0.8941,0.9507,0.73708,0.85053,0.86643,0.6653,0.85299,0.74174,0.90292,0.006898,0.006898,0.006898
49,2906.22,1.04082,0.88793,0.94393,0.73693,0.77581,0.84,0.63267,0.88564,0.7734,0.91195,0.006832,0.006832,0.006832
50,2965.53,1.04918,0.88664,0.94507,0.76473,0.83404,0.8723,0.67724,0.84691,0.75754,0.89848,0.006766,0.006766,0.006766
51,3024.55,1.04777,0.885,0.94646,0.7211,0.809,0.84231,0.61311,0.94384,0.78372,0.91937,0.0067,0.0067,0.0067
52,3083.7,1.04244,0.87566,0.94353,0.73844,0.84989,0.87327,0.68296,0.82495,0.74109,0.88987,0.006634,0.006634,0.006634
53,3142.88,1.06345,0.89223,0.94892,0.72617,0.82134,0.84931,0.65497,0.8607,0.76301,0.90502,0.006568,0.006568,0.006568
54,3202.08,1.04219,0.88583,0.94904,0.76734,0.80883,0.85715,0.66097,0.85347,0.75082,0.90317,0.006502,0.006502,0.006502
55,3261.13,1.03895,0.87776,0.93952,0.76681,0.83087,0.87833,0.69232,0.81739,0.71469,0.89406,0.006436,0.006436,0.006436
56,3320.24,1.03763,0.87488,0.94325,0.74303,0.84567,0.86923,0.66425,0.83556,0.74423,0.89152,0.00637,0.00637,0.00637
57,3379.99,1.03564,0.86645,0.94133,0.75192,0.82981,0.85516,0.66841,0.8317,0.73066,0.8923,0.006304,0.006304,0.006304
58,3439.15,1.02205,0.87181,0.9397,0.74333,0.82241,0.86595,0.66862,0.83846,0.73317,0.90077,0.006238,0.006238,0.006238
59,3498.12,1.03355,0.87475,0.94705,0.77674,0.81277,0.87567,0.67036,0.84967,0.72405,0.90284,0.006172,0.006172,0.006172
60,3557.56,1.02885,0.8651,0.93981,0.77167,0.7907,0.85655,0.66366,0.82493,0.74347,0.88722,0.006106,0.006106,0.006106
61,3616.42,1.02761,0.86631,0.93817,0.77539,0.81501,0.87505,0.68075,0.83007,0.71631,0.89231,0.00604,0.00604,0.00604
62,3675.81,1.01752,0.85822,0.93672,0.76075,0.83404,0.87336,0.68693,0.81916,0.72141,0.89339,0.005974,0.005974,0.005974
63,3735.01,1.01201,0.85058,0.93617,0.75186,0.84038,0.8808,0.68549,0.81188,0.73013,0.89228,0.005908,0.005908,0.005908
64,3794.48,1.01708,0.85898,0.93745,0.76669,0.83404,0.87229,0.66796,0.84698,0.72981,0.89759,0.005842,0.005842,0.005842
65,3853.25,1.01859,0.85161,0.94056,0.76945,0.81395,0.86405,0.67872,0.8131,0.7296,0.88753,0.005776,0.005776,0.005776
66,3912.47,1.01245,0.85763,0.93492,0.77611,0.84249,0.89152,0.69138,0.82806,0.6941,0.89069,0.00571,0.00571,0.00571
67,3971.57,1.02076,0.85818,0.93589,0.8087,0.80021,0.881,0.69331,0.7923,0.68597,0.88549,0.005644,0.005644,0.005644
68,4030.92,1.00639,0.84947,0.939,0.80096,0.82135,0.88744,0.68922,0.82283,0.7274,0.89179,0.005578,0.005578,0.005578
69,4089.85,1.00116,0.8405,0.9322,0.75094,0.83404,0.86947,0.67934,0.79294,0.72981,0.88327,0.005512,0.005512,0.005512
70,4149.53,0.99469,0.84656,0.93371,0.77823,0.8055,0.87958,0.68637,0.82131,0.6913,0.88745,0.005446,0.005446,0.005446
71,4208.83,0.98987,0.84019,0.92912,0.75471,0.85863,0.87959,0.68161,0.82464,0.7005,0.89185,0.00538,0.00538,0.00538
72,4268.32,1.0008,0.83663,0.93219,0.78264,0.82875,0.88256,0.68729,0.81957,0.67486,0.88792,0.005314,0.005314,0.005314
73,4327.56,0.99101,0.82283,0.92957,0.76144,0.82241,0.88057,0.68341,0.83149,0.71608,0.89182,0.005248,0.005248,0.005248
74,4386.89,0.99246,0.82534,0.92286,0.75811,0.84672,0.87719,0.6963,0.80148,0.71438,0.87712,0.005182,0.005182,0.005182
75,4446.12,0.99997,0.84288,0.9298,0.76557,0.83194,0.87145,0.68362,0.81484,0.71001,0.88851,0.005116,0.005116,0.005116
76,4505.84,0.98955,0.82389,0.92967,0.77309,0.84994,0.88039,0.69227,0.79557,0.70611,0.88143,0.00505,0.00505,0.00505
77,4565.05,0.98367,0.82486,0.93077,0.79401,0.83122,0.8934,0.69997,0.80886,0.67359,0.88398,0.004984,0.004984,0.004984
78,4624.76,0.9775,0.82294,0.92699,0.75797,0.83424,0.8724,0.68381,0.81,0.71257,0.88913,0.004918,0.004918,0.004918
79,4683.96,0.98112,0.81551,0.92772,0.78164,0.84002,0.89188,0.70087,0.78577,0.67522,0.87902,0.004852,0.004852,0.004852
80,4743.6,0.9803,0.81769,0.92682,0.77818,0.86364,0.88733,0.69972,0.79796,0.66831,0.88557,0.004786,0.004786,0.004786
81,4802.89,0.9799,0.82075,0.92392,0.7781,0.86469,0.89406,0.70697,0.7902,0.67296,0.88113,0.00472,0.00472,0.00472
82,4862.22,0.97862,0.82012,0.92625,0.75813,0.85835,0.88431,0.70659,0.78833,0.6769,0.8828,0.004654,0.004654,0.004654
83,4921.06,0.97533,0.8119,0.9281,0.77169,0.85412,0.89183,0.70431,0.79873,0.67726,0.88089,0.004588,0.004588,0.004588
84,4980.72,0.96094,0.80797,0.92089,0.76512,0.85742,0.88613,0.69855,0.79268,0.6792,0.8844,0.004522,0.004522,0.004522
85,5039.56,0.97184,0.80944,0.92208,0.77887,0.86007,0.88569,0.69825,0.78459,0.66686,0.87954,0.004456,0.004456,0.004456
86,5099.14,0.96156,0.81531,0.92019,0.7749,0.84422,0.88831,0.70104,0.7871,0.6873,0.87885,0.00439,0.00439,0.00439
87,5158.02,0.96365,0.80356,0.92399,0.79405,0.83958,0.88876,0.69742,0.80032,0.66942,0.88517,0.004324,0.004324,0.004324
88,5217.46,0.9735,0.80625,0.92432,0.75546,0.86212,0.8882,0.70718,0.77586,0.69921,0.87799,0.004258,0.004258,0.004258
89,5276.72,0.9519,0.79415,0.91781,0.80033,0.85201,0.89355,0.70664,0.78658,0.65872,0.87422,0.004192,0.004192,0.004192
90,5336.42,0.96554,0.80549,0.92516,0.81193,0.826,0.89297,0.70822,0.77581,0.67871,0.87745,0.004126,0.004126,0.004126
91,5395.5,0.95285,0.79032,0.91739,0.78826,0.84144,0.89163,0.70733,0.7777,0.66811,0.87216,0.00406,0.00406,0.00406
92,5455.43,0.94775,0.77658,0.91419,0.80178,0.83721,0.89605,0.70439,0.78021,0.65993,0.87623,0.003994,0.003994,0.003994
93,5514.56,0.94534,0.79372,0.91862,0.79569,0.83404,0.88318,0.70466,0.76063,0.67067,0.87426,0.003928,0.003928,0.003928
94,5574.48,0.93818,0.79173,0.91355,0.77996,0.86928,0.90308,0.72539,0.76618,0.6312,0.8728,0.003862,0.003862,0.003862
95,5633.74,0.952,0.7881,0.91951,0.78885,0.86575,0.89578,0.7156,0.76118,0.63916,0.8732,0.003796,0.003796,0.003796
96,5693.34,0.94324,0.78843,0.91325,0.79204,0.86364,0.89406,0.71083,0.78211,0.65063,0.87476,0.00373,0.00373,0.00373
97,5752.3,0.92644,0.77742,0.91435,0.78377,0.85518,0.89095,0.70417,0.79636,0.6622,0.87749,0.003664,0.003664,0.003664
98,5811.74,0.95375,0.78123,0.91789,0.79332,0.84672,0.90332,0.72032,0.77001,0.65512,0.8719,0.003598,0.003598,0.003598
99,5871.07,0.93358,0.76759,0.91009,0.77046,0.86998,0.89672,0.7143,0.77408,0.639,0.87384,0.003532,0.003532,0.003532
100,5930.7,0.94104,0.78134,0.91415,0.79166,0.85835,0.90319,0.71625,0.78482,0.63083,0.87313,0.003466,0.003466,0.003466
101,5990.31,0.92369,0.76846,0.91058,0.78599,0.87632,0.90631,0.73039,0.75132,0.63566,0.86914,0.0034,0.0034,0.0034
102,6050.04,0.92673,0.76697,0.9143,0.79464,0.84778,0.89127,0.71241,0.76051,0.65156,0.8707,0.003334,0.003334,0.003334
103,6109.18,0.9262,0.7655,0.91034,0.75026,0.89112,0.90028,0.72492,0.75765,0.635,0.87216,0.003268,0.003268,0.003268
104,6168.95,0.92526,0.75758,0.90803,0.81575,0.82347,0.90716,0.7249,0.74076,0.62219,0.86817,0.003202,0.003202,0.003202
105,6227.71,0.92134,0.76165,0.91002,0.76688,0.87632,0.89625,0.71725,0.76129,0.65401,0.87389,0.003136,0.003136,0.003136
106,6287.07,0.92007,0.75841,0.90676,0.77743,0.864,0.89626,0.71358,0.76519,0.6404,0.87253,0.00307,0.00307,0.00307
107,6345.73,0.92485,0.76702,0.90749,0.8074,0.85969,0.9089,0.72754,0.73626,0.62655,0.86699,0.003004,0.003004,0.003004
108,6404.92,0.90763,0.74473,0.90563,0.76696,0.89006,0.91084,0.72758,0.74067,0.61959,0.86795,0.002938,0.002938,0.002938
109,6463.95,0.90705,0.75295,0.90792,0.76867,0.87632,0.89449,0.71487,0.7479,0.63594,0.86728,0.002872,0.002872,0.002872
110,6523.31,0.91303,0.7524,0.90374,0.79233,0.85729,0.9055,0.72957,0.73761,0.63423,0.86471,0.002806,0.002806,0.002806
111,6582.1,0.9016,0.74539,0.90456,0.79722,0.85412,0.90242,0.727,0.76674,0.62314,0.86974,0.00274,0.00274,0.00274
112,6641.49,0.90177,0.74492,0.902,0.79379,0.85858,0.90448,0.72498,0.75132,0.62069,0.86806,0.002674,0.002674,0.002674
113,6700.5,0.91036,0.73845,0.90446,0.79665,0.85624,0.9059,0.72595,0.7636,0.62543,0.86866,0.002608,0.002608,0.002608
114,6759.41,0.8984,0.72664,0.90055,0.78727,0.88055,0.9088,0.7289,0.76262,0.62205,0.86766,0.002542,0.002542,0.002542
115,6818.22,0.8945,0.73518,0.89992,0.78703,0.87526,0.90212,0.7208,0.76072,0.63292,0.86879,0.002476,0.002476,0.002476
116,6877.65,0.89044,0.73526,0.90126,0.77165,0.86998,0.90236,0.72433,0.74725,0.63301,0.86399,0.00241,0.00241,0.00241
117,6936.63,0.88023,0.71708,0.89703,0.78986,0.85427,0.90474,0.7354,0.7384,0.61235,0.86165,0.002344,0.002344,0.002344
118,6995.83,0.87741,0.7162,0.89696,0.80351,0.84294,0.90776,0.7354,0.74871,0.61477,0.86666,0.002278,0.002278,0.002278
119,7055,0.87937,0.71496,0.89716,0.80806,0.84249,0.90215,0.73392,0.73803,0.61501,0.86307,0.002212,0.002212,0.002212
120,7114.61,0.8773,0.71108,0.89672,0.78907,0.87104,0.9032,0.73227,0.74155,0.621,0.86576,0.002146,0.002146,0.002146
121,7173.51,0.87293,0.70947,0.8982,0.78527,0.86595,0.9042,0.73263,0.7447,0.61938,0.8633,0.00208,0.00208,0.00208
122,7232.79,0.8666,0.70786,0.89341,0.84426,0.80227,0.90838,0.73033,0.73802,0.62246,0.8635,0.002014,0.002014,0.002014
123,7292.33,0.88406,0.71629,0.89861,0.81857,0.84249,0.89692,0.72686,0.74724,0.62401,0.86878,0.001948,0.001948,0.001948
124,7351.9,0.86587,0.69591,0.89419,0.76274,0.86998,0.9021,0.72958,0.73792,0.6102,0.86521,0.001882,0.001882,0.001882
125,7410.56,0.86968,0.69846,0.89518,0.813,0.85518,0.91094,0.74555,0.72436,0.59356,0.85878,0.001816,0.001816,0.001816
126,7469.88,0.87625,0.70995,0.89386,0.78413,0.87632,0.90452,0.73985,0.7147,0.59942,0.8566,0.00175,0.00175,0.00175
127,7529.16,0.85477,0.68342,0.89084,0.78364,0.87632,0.90626,0.73791,0.71935,0.59705,0.85965,0.001684,0.001684,0.001684
128,7588.89,0.86054,0.68789,0.89313,0.82465,0.84249,0.90997,0.74166,0.72346,0.59614,0.86045,0.001618,0.001618,0.001618
