epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3762,2.12356,4.96366,0.56179,2.19713,1.48409,0.53743,0.64165,0.57938,0.28565,0.5201,0.63002,0.55162,0.16195,1.59901,3.77436,0.39882,1.39159,1.14528,0.0702521,0.00330532,0.00330532
2,116.788,1.67901,3.22369,0.39889,1.45571,1.15329,0.60074,0.63214,0.63062,0.33414,0.61164,0.62262,0.62477,0.33449,1.39869,2.04594,0.26426,1.40878,1.05675,0.0402083,0.00659484,0.00659484
3,174.478,1.61232,1.81801,0.31901,1.39918,1.11606,0.58243,0.69239,0.63049,0.3552,0.58243,0.69239,0.62704,0.51192,1.39284,0.89456,0.16102,1.28565,1.03716,0.0101205,0.00984036,0.00984036
4,232.245,1.58824,1.32607,0.26738,1.37865,1.11037,0.47415,0.4556,0.40813,0.22888,0.47612,0.44192,0.3939,0.31969,1.50172,1.4508,0.10321,1.88831,1.15858,0.009802,0.009802,0.009802
5,290.021,1.48373,1.09754,0.23295,1.29036,1.07742,0.62757,0.71036,0.70245,0.41827,0.63224,0.71564,0.70635,0.6626,1.3137,0.55997,0.07052,1.15336,1.03505,0.009736,0.009736,0.009736
6,347.693,1.45451,0.95969,0.21306,1.23731,1.05762,0.62879,0.6797,0.68229,0.43982,0.63955,0.67336,0.67581,0.64869,1.27018,0.62749,0.06475,1.19044,1.05942,0.00967,0.00967,0.00967
7,405.054,1.40016,0.86895,0.19348,1.20142,1.05157,0.66867,0.72533,0.72798,0.45584,0.67878,0.72304,0.72974,0.68535,1.23326,0.44862,0.04928,1.10212,0.99089,0.009604,0.009604,0.009604
8,462.504,1.36366,0.77516,0.19215,1.15589,1.0344,0.6479,0.74524,0.74651,0.49579,0.64623,0.7315,0.73289,0.66474,1.12022,0.58908,0.04043,1.05406,0.99085,0.009538,0.009538,0.009538
9,520.32,1.31549,0.74373,0.16776,1.13128,1.02131,0.71627,0.71247,0.76821,0.53396,0.71627,0.71247,0.76748,0.73089,1.05101,0.3873,0.03535,0.97433,0.96775,0.009472,0.009472,0.009472
10,577.946,1.32316,0.70244,0.1623,1.10875,1.01849,0.68082,0.76216,0.78467,0.53992,0.68906,0.75687,0.78113,0.75637,1.069,0.35501,0.03214,0.95974,0.97301,0.009406,0.009406,0.009406
11,635.557,1.26787,0.66828,0.14853,1.0764,1.00294,0.64122,0.77273,0.75869,0.51369,0.6421,0.77378,0.75618,0.73573,1.0827,0.35318,0.0263,1.06991,0.98079,0.00934,0.00934,0.00934
12,693.119,1.25463,0.64027,0.1404,1.063,1.00723,0.70348,0.74419,0.79618,0.55254,0.70691,0.7463,0.79756,0.77559,1.05025,0.28823,0.02798,0.95437,0.96645,0.009274,0.009274,0.009274
13,751.348,1.25202,0.63577,0.13293,1.06906,1.00091,0.67519,0.77566,0.78834,0.51802,0.67406,0.77389,0.78432,0.76304,1.15049,0.28053,0.02663,0.96629,0.98679,0.009208,0.009208,0.009208
14,809.009,1.25603,0.61824,0.13078,1.06532,1.00621,0.66359,0.68816,0.70632,0.47245,0.66461,0.68922,0.70673,0.68304,1.18654,0.47044,0.03057,1.07272,1.00673,0.009142,0.009142,0.009142
15,866.66,1.24456,0.64531,0.12415,1.04156,0.99851,0.67302,0.77893,0.78882,0.54604,0.66937,0.77471,0.77851,0.75427,1.03365,0.36087,0.02071,0.95003,0.9497,0.009076,0.009076,0.009076
16,924.315,1.22052,0.59805,0.12243,1.04622,0.9951,0.69955,0.75807,0.78225,0.53664,0.70053,0.75913,0.7831,0.76317,1.06956,0.30539,0.01684,0.97583,0.97877,0.00901,0.00901,0.00901
17,982.602,1.23964,0.6197,0.11967,1.03923,0.99574,0.66896,0.75404,0.77815,0.5472,0.67083,0.75616,0.77847,0.76321,1.02298,0.26117,0.02355,0.94324,0.95902,0.008944,0.008944,0.008944
18,1040.98,1.19291,0.55821,0.12071,1.02718,0.99269,0.74264,0.78392,0.82642,0.59614,0.74133,0.77858,0.82334,0.81043,0.981,0.23247,0.01917,0.89872,0.93909,0.008878,0.008878,0.008878
19,1098.32,1.21545,0.5526,0.11598,1.01758,0.98834,0.74793,0.78413,0.82943,0.58363,0.74994,0.78224,0.82875,0.79388,1.00598,0.32948,0.013,0.88549,0.95555,0.008812,0.008812,0.008812
20,1156.36,1.19595,0.54765,0.10854,1.00553,0.98705,0.70371,0.78541,0.81152,0.56304,0.70271,0.78118,0.80138,0.78083,1.05125,0.30246,0.0215,0.91957,0.96618,0.008746,0.008746,0.008746
21,1213.94,1.1908,0.54147,0.11126,1.0033,0.98482,0.7184,0.71987,0.77235,0.5321,0.71735,0.71882,0.77031,0.75492,1.06889,0.28861,0.01626,0.97141,0.96193,0.00868,0.00868,0.00868
22,1271.73,1.1738,0.531,0.10835,0.99152,0.98524,0.68768,0.75793,0.78143,0.56155,0.69398,0.75264,0.77493,0.7619,0.98003,0.2408,0.0167,0.94085,0.94216,0.008614,0.008614,0.008614
23,1329.01,1.17468,0.54237,0.10998,0.98479,0.97971,0.70114,0.76216,0.79387,0.55939,0.70017,0.7611,0.79429,0.77771,1.04215,0.2537,0.01904,0.93444,0.95401,0.008548,0.008548,0.008548
24,1387.01,1.1748,0.50958,0.1086,0.98561,0.98066,0.73129,0.7595,0.80474,0.57445,0.73225,0.76216,0.80307,0.78409,1.03084,0.3275,0.01604,0.89154,0.96173,0.008482,0.008482,0.008482
25,1444.8,1.16635,0.47309,0.10309,0.98361,0.98177,0.72834,0.79639,0.83533,0.59424,0.73291,0.78897,0.83341,0.81736,0.98915,0.24447,0.01247,0.83413,0.94242,0.008416,0.008416,0.008416
26,1502.36,1.16457,0.48813,0.10346,0.96299,0.97731,0.71282,0.83827,0.84013,0.59667,0.7151,0.83932,0.84084,0.82867,0.97538,0.18402,0.01286,0.86979,0.92958,0.00835,0.00835,0.00835
27,1560.12,1.15574,0.50281,0.10028,0.97435,0.97319,0.67507,0.81479,0.79885,0.57195,0.67857,0.81901,0.80245,0.78411,1.02405,0.22007,0.01319,0.94223,0.95743,0.008284,0.008284,0.008284
28,1617.55,1.14073,0.4948,0.09845,0.96578,0.97426,0.71539,0.79175,0.81109,0.57656,0.71411,0.78964,0.80792,0.79371,0.9943,0.22864,0.01209,0.88667,0.93661,0.008218,0.008218,0.008218
29,1675.05,1.16114,0.47711,0.10113,0.96755,0.97392,0.72403,0.78436,0.8262,0.60531,0.72788,0.77378,0.82283,0.80857,0.96518,0.22628,0.01227,0.8277,0.93976,0.008152,0.008152,0.008152
30,1732.71,1.14517,0.49209,0.09694,0.96052,0.9764,0.66522,0.83721,0.81717,0.59684,0.66354,0.8351,0.81311,0.80151,0.96228,0.22384,0.01356,0.87781,0.93267,0.008086,0.008086,0.008086
31,1790.83,1.15155,0.47621,0.09561,0.95645,0.97961,0.7443,0.79281,0.82633,0.61708,0.74275,0.79354,0.82736,0.81498,0.92481,0.1906,0.01157,0.84991,0.92671,0.00802,0.00802,0.00802
32,1848.32,1.14012,0.47988,0.08996,0.94154,0.9698,0.72522,0.80021,0.82489,0.59348,0.7298,0.80338,0.8249,0.81153,0.95706,0.1862,0.01117,0.83767,0.93373,0.007954,0.007954,0.007954
33,1905.64,1.11398,0.4407,0.08414,0.94057,0.96118,0.69334,0.84249,0.83628,0.62352,0.6916,0.84038,0.83127,0.82117,0.94256,0.2046,0.00943,0.82522,0.93412,0.007888,0.007888,0.007888
34,1963.22,1.09543,0.43294,0.08371,0.92877,0.9597,0.71359,0.81607,0.81773,0.59507,0.71293,0.8055,0.80715,0.79474,0.95278,0.23169,0.01236,0.85461,0.9379,0.007822,0.007822,0.007822
35,2020.9,1.12047,0.46759,0.08878,0.93958,0.97117,0.71533,0.78013,0.81179,0.58155,0.71733,0.78064,0.81192,0.79795,1.00376,0.25606,0.01148,0.87621,0.94834,0.007756,0.007756,0.007756
36,2078.55,1.11354,0.45776,0.08149,0.93302,0.96491,0.73623,0.80252,0.84607,0.62056,0.73258,0.81083,0.84717,0.82593,0.95706,0.22121,0.01312,0.82441,0.94074,0.00769,0.00769,0.00769
37,2135.78,1.13492,0.45624,0.0844,0.9396,0.96541,0.6976,0.81204,0.82333,0.6058,0.69591,0.808,0.81797,0.80777,0.94539,0.21941,0.01041,0.81962,0.93609,0.007624,0.007624,0.007624
38,2193.31,1.11548,0.45647,0.07882,0.92636,0.96451,0.74989,0.79704,0.84524,0.62711,0.75917,0.78118,0.84094,0.82911,0.92658,0.23234,0.01096,0.79217,0.93158,0.007558,0.007558,0.007558
39,2251.06,1.11729,0.43635,0.08159,0.92981,0.96012,0.75555,0.80049,0.85143,0.61813,0.75481,0.80052,0.84779,0.83412,0.95192,0.21176,0.00943,0.80691,0.92562,0.007492,0.007492,0.007492
40,2308.51,1.09759,0.44574,0.08075,0.9127,0.9615,0.74521,0.8129,0.85558,0.64226,0.74996,0.81395,0.85537,0.84462,0.88531,0.17224,0.01445,0.78526,0.91598,0.007426,0.007426,0.007426
41,2365.97,1.0838,0.41189,0.08081,0.90864,0.95813,0.6191,0.70296,0.6843,0.4692,0.61758,0.69991,0.68319,0.66755,1.1636,0.62276,0.01313,1.0651,1.02683,0.00736,0.00736,0.00736
42,2423.73,1.08853,0.4225,0.07358,0.89926,0.95369,0.74193,0.82663,0.84847,0.63788,0.74193,0.82663,0.8442,0.83326,0.89638,0.18721,0.00775,0.7852,0.91326,0.007294,0.007294,0.007294
43,2481.13,1.0961,0.41484,0.07757,0.91188,0.96222,0.73703,0.85919,0.85766,0.65012,0.74017,0.85821,0.85863,0.84849,0.87903,0.15529,0.01072,0.78838,0.9143,0.007228,0.007228,0.007228
44,2539.06,1.08284,0.41047,0.06971,0.90562,0.95101,0.73644,0.81184,0.84852,0.63402,0.74041,0.8129,0.84816,0.83697,0.88669,0.16686,0.00848,0.78395,0.91097,0.007162,0.007162,0.007162
45,2597.06,1.08171,0.40464,0.07442,0.91396,0.95235,0.71592,0.83827,0.84082,0.62987,0.72456,0.82875,0.83065,0.81982,0.89234,0.20086,0.01023,0.82925,0.91999,0.007096,0.007096,0.007096
46,2655.04,1.0849,0.41739,0.0717,0.89755,0.95722,0.74969,0.78518,0.83696,0.63065,0.75063,0.78276,0.83751,0.82663,0.8884,0.16768,0.00808,0.79421,0.91539,0.00703,0.00703,0.00703
47,2712.63,1.08122,0.4124,0.07252,0.89994,0.9573,0.70775,0.82452,0.84057,0.6191,0.72327,0.80397,0.84069,0.82758,0.93441,0.18417,0.01219,0.8093,0.92333,0.006964,0.006964,0.006964
48,2770.21,1.07277,0.40771,0.07172,0.88933,0.95448,0.77736,0.82673,0.85391,0.64796,0.7789,0.82671,0.85572,0.84537,0.87459,0.15052,0.01211,0.76054,0.90772,0.006898,0.006898,0.006898
49,2827.91,1.06615,0.39218,0.06941,0.88103,0.94783,0.7078,0.8373,0.82918,0.63239,0.70869,0.8351,0.82692,0.81876,0.88431,0.16824,0.00916,0.79616,0.91056,0.006832,0.006832,0.006832
50,2885.46,1.07724,0.38631,0.07244,0.88874,0.95086,0.73833,0.83615,0.84879,0.63526,0.73646,0.83404,0.84552,0.83818,0.90299,0.15361,0.00981,0.78061,0.91378,0.006766,0.006766,0.006766
51,2942.87,1.06379,0.39092,0.07056,0.88046,0.94918,0.7686,0.8129,0.87343,0.66395,0.7666,0.81078,0.87199,0.86215,0.87211,0.16042,0.00709,0.74159,0.90589,0.0067,0.0067,0.0067
52,3000.61,1.06735,0.38027,0.06886,0.87482,0.94693,0.75759,0.83298,0.87413,0.6558,0.75951,0.8351,0.87574,0.86421,0.90525,0.1725,0.00846,0.76032,0.91973,0.006634,0.006634,0.006634
53,3058.48,1.07416,0.40624,0.06717,0.89129,0.94886,0.71722,0.81501,0.84841,0.64188,0.71815,0.81607,0.84704,0.83672,0.89063,0.17926,0.00853,0.77949,0.91113,0.006568,0.006568,0.006568
54,3116.41,1.06146,0.38765,0.06865,0.87837,0.95035,0.75239,0.8351,0.8688,0.6529,0.75822,0.82875,0.86498,0.85065,0.88535,0.15927,0.00879,0.76372,0.91724,0.006502,0.006502,0.006502
55,3174.17,1.063,0.39294,0.06774,0.87681,0.94769,0.75767,0.82629,0.86188,0.64812,0.75477,0.82311,0.85792,0.84808,0.88777,0.17454,0.01038,0.77214,0.9124,0.006436,0.006436,0.006436
56,3231.77,1.05634,0.38782,0.06956,0.86808,0.94558,0.72869,0.79211,0.83985,0.64237,0.76944,0.76199,0.83867,0.82778,0.85905,0.14821,0.00799,0.7914,0.90059,0.00637,0.00637,0.00637
57,3289.45,1.04626,0.35471,0.06632,0.86054,0.94116,0.71737,0.84461,0.85312,0.64941,0.72531,0.83721,0.85299,0.84564,0.87346,0.13973,0.0099,0.76999,0.90401,0.006304,0.006304,0.006304
58,3347.11,1.03704,0.37554,0.06476,0.86472,0.94118,0.74031,0.8203,0.85486,0.64742,0.73935,0.81924,0.85358,0.84329,0.88254,0.14938,0.00679,0.75347,0.90503,0.006238,0.006238,0.006238
59,3404.73,1.04855,0.37836,0.06662,0.86568,0.95237,0.77203,0.82664,0.87945,0.66358,0.77517,0.82734,0.87927,0.87067,0.86383,0.14076,0.00706,0.73439,0.91046,0.006172,0.006172,0.006172
60,3461.85,1.03917,0.36215,0.06606,0.85335,0.94139,0.76238,0.80021,0.86466,0.66424,0.76238,0.80021,0.86256,0.85568,0.88698,0.15492,0.00797,0.76368,0.9082,0.006106,0.006106,0.006106
61,3518.85,1.05301,0.38264,0.06362,0.86852,0.94476,0.76232,0.80444,0.86067,0.64133,0.76631,0.80761,0.86039,0.85214,0.88501,0.15704,0.00871,0.76675,0.91139,0.00604,0.00604,0.00604
62,3576.36,1.02414,0.35858,0.06456,0.847,0.93847,0.74139,0.83035,0.84993,0.65569,0.74139,0.83035,0.85022,0.84276,0.88044,0.14692,0.0069,0.76117,0.90948,0.005974,0.005974,0.005974
63,3633.84,1.03544,0.34285,0.06664,0.85366,0.93869,0.78982,0.78541,0.86867,0.65735,0.78981,0.78649,0.86678,0.85599,0.88119,0.16823,0.00994,0.7696,0.90819,0.005908,0.005908,0.005908
64,3691.43,1.02969,0.37426,0.06346,0.84566,0.9412,0.75162,0.81572,0.85117,0.64626,0.75162,0.81572,0.84947,0.84248,0.86577,0.14439,0.00934,0.75045,0.90516,0.005842,0.005842,0.005842
65,3749.45,1.03629,0.34801,0.06348,0.84547,0.94165,0.75201,0.83298,0.8695,0.65966,0.75296,0.83404,0.86984,0.86098,0.86336,0.12936,0.00793,0.74189,0.90169,0.005776,0.005776,0.005776
66,3806.87,1.02125,0.35801,0.06198,0.84674,0.93741,0.74932,0.81204,0.84626,0.6333,0.75093,0.80949,0.84263,0.83118,0.90223,0.18967,0.00706,0.78414,0.91368,0.00571,0.00571,0.00571
67,3864.03,1.03058,0.35141,0.06456,0.84605,0.93805,0.7586,0.8351,0.87157,0.67328,0.7586,0.8351,0.87061,0.86395,0.84977,0.15045,0.00747,0.74194,0.90614,0.005644,0.005644,0.005644
68,3921.21,1.01791,0.34087,0.06437,0.83002,0.93776,0.78088,0.81712,0.86632,0.66613,0.78114,0.81496,0.86354,0.85586,0.85238,0.14451,0.00831,0.73522,0.9008,0.005578,0.005578,0.005578
69,3978.93,1.01971,0.35247,0.05976,0.83673,0.93601,0.75215,0.82875,0.87481,0.6748,0.75178,0.82981,0.8728,0.86258,0.8572,0.14775,0.00918,0.74101,0.89939,0.005512,0.005512,0.005512
