epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7125,5.19457,5.30474,0.55796,4.28818,3.7598,0.00541,0.06554,0.00786,0.00276,0.00994,0.12051,0.01052,0.00175,4.46531,4.92803,0.29414,3.84883,3.19674,0.0702521,0.00330532,0.00330532
2,117.638,3.04779,4.30791,0.30136,2.60835,2.37427,0.27428,0.38689,0.22048,0.06268,0.22671,0.34778,0.18238,0.07336,2.55749,3.82767,0.06694,2.47902,2.05916,0.0402083,0.00659484,0.00659484
3,175.235,2.41353,3.55959,0.24254,2.08444,1.88899,0.41108,0.14684,0.27748,0.1063,0.38445,0.13732,0.2541,0.13672,2.11141,2.91367,0.06441,2.3084,1.72977,0.0101205,0.00984036,0.00984036
4,233.506,2.14853,2.9327,0.23774,1.85177,1.66138,0.50177,0.49577,0.47244,0.22892,0.48924,0.46934,0.43883,0.2665,1.74901,2.13257,0.04087,2.39073,1.48193,0.009802,0.009802,0.009802
5,291.354,1.91834,2.05778,0.22065,1.63555,1.5117,0.57341,0.57611,0.57535,0.30762,0.57743,0.56448,0.56701,0.43736,1.55611,1.14861,0.04092,1.36974,1.34295,0.009736,0.009736,0.009736
6,349.103,1.79283,1.61992,0.21161,1.51019,1.41299,0.5614,0.57099,0.57059,0.29397,0.56536,0.56925,0.56622,0.46618,1.61068,1.13965,0.06223,1.39835,1.40034,0.00967,0.00967,0.00967
7,407.165,1.68465,1.34305,0.18547,1.42159,1.3487,0.60038,0.65222,0.62627,0.30664,0.59766,0.65328,0.62586,0.52125,1.62765,0.86225,0.0383,1.29298,1.33089,0.009604,0.009604,0.009604
8,464.959,1.62156,1.18945,0.17594,1.35879,1.30499,0.63393,0.66596,0.68958,0.41666,0.62058,0.6691,0.67803,0.63465,1.29396,0.56472,0.03735,1.16585,1.19451,0.009538,0.009538,0.009538
9,522.808,1.56912,1.11215,0.15109,1.3069,1.27401,0.66527,0.70172,0.71609,0.4403,0.66167,0.69556,0.70924,0.66399,1.26061,0.49249,0.03259,1.07933,1.15728,0.009472,0.009472,0.009472
10,580.624,1.52541,0.97814,0.14571,1.27295,1.24165,0.61486,0.68076,0.69184,0.43793,0.61518,0.67442,0.67817,0.63851,1.23345,0.51565,0.02455,1.17124,1.14421,0.009406,0.009406,0.009406
11,638.167,1.48291,0.91191,0.13725,1.21878,1.21494,0.65207,0.71142,0.7214,0.45299,0.65304,0.71247,0.72163,0.68832,1.24569,0.39881,0.02636,1.1042,1.14229,0.00934,0.00934,0.00934
12,696.18,1.44568,0.88004,0.1284,1.19739,1.20709,0.66261,0.73467,0.76129,0.48178,0.6619,0.73673,0.7597,0.72647,1.19905,0.38304,0.02274,1.02635,1.12378,0.009274,0.009274,0.009274
13,753.925,1.41878,0.81885,0.12165,1.17578,1.1837,0.63978,0.69027,0.69986,0.44728,0.64079,0.67759,0.68727,0.66006,1.18951,0.40738,0.02843,1.07596,1.13121,0.009208,0.009208,0.009208
14,812.221,1.39184,0.78472,0.11786,1.16182,1.17105,0.71386,0.74313,0.7919,0.52418,0.71437,0.73762,0.78604,0.75774,1.12506,0.34126,0.01798,0.96384,1.08059,0.009142,0.009142,0.009142
15,869.635,1.38884,0.7383,0.10612,1.13587,1.15947,0.69472,0.72168,0.77439,0.51319,0.69381,0.71459,0.76979,0.74661,1.13547,0.36591,0.02215,0.98936,1.08232,0.009076,0.009076,0.009076
16,927.299,1.348,0.7531,0.10157,1.12213,1.14529,0.66618,0.76216,0.76212,0.49617,0.66969,0.75793,0.75976,0.73479,1.17289,0.33784,0.01687,0.98014,1.09725,0.00901,0.00901,0.00901
17,985.078,1.35471,0.72293,0.09483,1.10617,1.13875,0.66908,0.76216,0.76297,0.50697,0.66854,0.75476,0.75892,0.73694,1.10045,0.33211,0.0129,0.94597,1.06675,0.008944,0.008944,0.008944
18,1043.24,1.30435,0.66591,0.092,1.09276,1.13487,0.68921,0.77592,0.79956,0.54589,0.68574,0.78013,0.79575,0.77263,1.05652,0.2858,0.01265,0.90726,1.04356,0.008878,0.008878,0.008878
19,1100.45,1.32398,0.68605,0.08764,1.09389,1.12187,0.71209,0.77378,0.80095,0.54455,0.71209,0.77378,0.79689,0.77776,1.0466,0.29866,0.01808,0.92189,1.03995,0.008812,0.008812,0.008812
20,1158.36,1.30524,0.67636,0.0812,1.07095,1.12067,0.68642,0.81078,0.81104,0.55963,0.6876,0.81665,0.81311,0.79115,1.03719,0.25354,0.01488,0.90353,1.03812,0.008746,0.008746,0.008746
21,1216.36,1.29113,0.64278,0.08229,1.04858,1.11575,0.7303,0.74736,0.81687,0.54694,0.73237,0.74947,0.81628,0.78835,1.11092,0.30025,0.00954,0.90744,1.05729,0.00868,0.00868,0.00868
22,1274.46,1.28099,0.62003,0.07713,1.05386,1.11316,0.70281,0.77993,0.80034,0.54336,0.70272,0.7759,0.79689,0.77539,1.03651,0.28998,0.01297,0.90436,1.04049,0.008614,0.008614,0.008614
23,1332.51,1.26377,0.62614,0.07954,1.03854,1.0979,0.66205,0.74756,0.75381,0.49745,0.66504,0.74736,0.75613,0.73143,1.07844,0.25796,0.01654,0.97142,1.0528,0.008548,0.008548,0.008548
24,1390.44,1.25514,0.58538,0.07604,1.02919,1.0968,0.71713,0.7907,0.80782,0.53046,0.71882,0.77378,0.79398,0.77199,1.10257,0.3085,0.01014,0.93999,1.04359,0.008482,0.008482,0.008482
25,1447.79,1.25233,0.57547,0.07292,1.02531,1.09865,0.72245,0.78695,0.8249,0.57197,0.73145,0.78118,0.82806,0.80807,1.02079,0.25957,0.01029,0.87758,1.01566,0.008416,0.008416,0.008416
26,1506.1,1.2415,0.57968,0.07309,1.00481,1.08533,0.7017,0.79074,0.80572,0.55723,0.69665,0.78656,0.79539,0.77518,1.0456,0.30868,0.01197,0.88469,1.03211,0.00835,0.00835,0.00835
27,1563.41,1.24137,0.58345,0.07164,1.02319,1.08798,0.71212,0.78647,0.80772,0.56759,0.70734,0.78118,0.80069,0.78637,1.01295,0.24121,0.0091,0.88318,1.01637,0.008284,0.008284,0.008284
28,1621.26,1.2395,0.55626,0.07006,1.01765,1.08503,0.68066,0.77282,0.79575,0.54608,0.68345,0.77599,0.80028,0.77628,1.06425,0.26524,0.00902,0.89386,1.03224,0.008218,0.008218,0.008218
29,1679.36,1.23389,0.56188,0.074,1.00561,1.08534,0.68981,0.8351,0.82234,0.57019,0.68639,0.82875,0.81384,0.80067,1.02295,0.247,0.00763,0.89988,1.01498,0.008152,0.008152,0.008152
30,1737.34,1.22961,0.56356,0.07401,1.00106,1.08264,0.71596,0.78603,0.82534,0.5771,0.71487,0.77919,0.82378,0.80741,1.01037,0.20636,0.00796,0.85437,1.01518,0.008086,0.008086,0.008086
31,1795.04,1.22517,0.55189,0.07221,1.00072,1.08246,0.7483,0.77378,0.82006,0.58118,0.74933,0.77484,0.81898,0.80018,0.99558,0.22046,0.00906,0.87337,1.01076,0.00802,0.00802,0.00802
32,1852.88,1.20867,0.54425,0.06803,0.98741,1.0699,0.71022,0.80316,0.83378,0.59054,0.71116,0.80422,0.83377,0.81662,1.0132,0.22986,0.00974,0.86458,1.01296,0.007954,0.007954,0.007954
33,1910.96,1.19403,0.51702,0.0627,0.98026,1.06373,0.74465,0.80456,0.8513,0.61346,0.75187,0.78797,0.84499,0.82902,0.95337,0.21468,0.00856,0.82779,0.99155,0.007888,0.007888,0.007888
34,1968.83,1.1771,0.48561,0.06448,0.95525,1.05561,0.72851,0.78572,0.83659,0.59729,0.73138,0.78436,0.83814,0.81983,0.96178,0.19054,0.00953,0.84524,0.99927,0.007822,0.007822,0.007822
35,2026.24,1.19699,0.52429,0.06805,0.97612,1.07258,0.73316,0.81184,0.84211,0.60241,0.73496,0.8129,0.84552,0.83292,0.95814,0.18449,0.00829,0.83568,0.9978,0.007756,0.007756,0.007756
36,2083.83,1.18136,0.50299,0.06509,0.96034,1.05824,0.73801,0.78614,0.84193,0.59986,0.73603,0.78403,0.8388,0.82196,0.9619,0.2285,0.01013,0.83863,0.99878,0.00769,0.00769,0.00769
37,2142,1.17496,0.49482,0.06548,0.95498,1.0543,0.77157,0.77061,0.8425,0.59956,0.76734,0.76638,0.83414,0.81853,0.93981,0.20931,0.00752,0.8336,0.98885,0.007624,0.007624,0.007624
38,2200.05,1.17231,0.49311,0.06073,0.94136,1.05228,0.72078,0.82241,0.85302,0.61151,0.71471,0.81712,0.84581,0.8293,0.95826,0.20894,0.0075,0.83003,0.99991,0.007558,0.007558,0.007558
39,2258,1.17307,0.49108,0.06428,0.94393,1.05235,0.73309,0.80338,0.8398,0.60053,0.75384,0.79387,0.83394,0.81778,0.96456,0.20012,0.00643,0.81386,0.99043,0.007492,0.007492,0.007492
