epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8704,5.09527,5.30337,0.50753,4.29546,3.67733,0.00302,0.11734,0.00243,0.00075,0.00503,0.19556,0.00523,0.00077,4.22852,4.92609,0.26494,3.79742,2.99759,0.0702521,0.00330532,0.00330532
2,116.116,2.93052,4.30084,0.31325,2.4941,2.29489,0.31047,0.43446,0.27622,0.08979,0.29317,0.40486,0.25928,0.09495,2.2521,3.40292,0.1426,2.12961,1.91845,0.0402083,0.00659484,0.00659484
3,174.124,2.378,3.50017,0.26502,2.07325,1.87678,0.37643,0.39746,0.31969,0.09921,0.37911,0.39112,0.31931,0.17916,2.30075,2.91148,0.07287,2.15151,1.80195,0.0101205,0.00984036,0.00984036
4,231.461,2.14219,2.83559,0.25434,1.86376,1.66803,0.54387,0.57294,0.53928,0.2544,0.52967,0.55497,0.50903,0.33081,1.74672,1.81492,0.06037,1.63858,1.48737,0.009802,0.009802,0.009802
5,288.942,1.93569,1.94898,0.24391,1.68743,1.52631,0.55539,0.64165,0.61573,0.32172,0.54468,0.62791,0.59576,0.43878,1.57227,1.17654,0.05537,1.44672,1.37052,0.009736,0.009736,0.009736
6,346.579,1.82025,1.60109,0.24468,1.57197,1.42639,0.58411,0.63848,0.64639,0.32969,0.58164,0.63002,0.63599,0.55779,1.56682,0.88041,0.06016,1.34138,1.31556,0.00967,0.00967,0.00967
7,403.813,1.7362,1.34622,0.23663,1.47947,1.36618,0.54461,0.60888,0.56577,0.25628,0.55501,0.62051,0.58175,0.51131,1.70923,0.71905,0.05863,1.41649,1.35065,0.009604,0.009604,0.009604
8,461.357,1.63948,1.23234,0.25017,1.40969,1.31414,0.64714,0.72516,0.71217,0.40995,0.6458,0.72727,0.71785,0.67909,1.37642,0.53229,0.06402,1.25632,1.21816,0.009538,0.009538,0.009538
9,518.847,1.59797,1.14746,0.23369,1.34911,1.28111,0.60174,0.73573,0.70726,0.42615,0.59764,0.73326,0.70739,0.67251,1.28155,0.47038,0.05876,1.1674,1.14798,0.009472,0.009472,0.009472
10,575.975,1.5619,1.06946,0.23916,1.29984,1.2543,0.57885,0.7032,0.67007,0.41239,0.57012,0.70719,0.65992,0.61429,1.30087,0.76416,0.05489,1.25966,1.18611,0.009406,0.009406,0.009406
11,633.329,1.51385,0.99347,0.23689,1.25524,1.22358,0.65909,0.74947,0.73738,0.45518,0.66274,0.74841,0.73811,0.7004,1.29579,0.4639,0.05537,1.12583,1.15241,0.00934,0.00934,0.00934
12,690.763,1.46141,0.94133,0.22914,1.22288,1.21074,0.65331,0.72093,0.73429,0.47017,0.65284,0.7176,0.7397,0.70654,1.20089,0.38496,0.05641,1.17192,1.11772,0.009274,0.009274,0.009274
13,748.439,1.44238,0.88196,0.21719,1.20608,1.18736,0.68498,0.72172,0.75673,0.45096,0.69114,0.7241,0.7612,0.72744,1.34657,0.38433,0.04937,1.06579,1.15279,0.009208,0.009208,0.009208
14,806.058,1.43348,0.84423,0.21508,1.19297,1.1854,0.68924,0.73679,0.77291,0.49866,0.69121,0.7389,0.77652,0.74498,1.1869,0.34419,0.04776,1.00842,1.09209,0.009142,0.009142,0.009142
15,863.384,1.40969,0.81285,0.19688,1.15965,1.1623,0.70203,0.72516,0.76535,0.48417,0.70306,0.72622,0.7656,0.73935,1.24375,0.37651,0.04537,1.00304,1.09759,0.009076,0.009076,0.009076
16,920.996,1.3924,0.79803,0.18224,1.14946,1.15971,0.70035,0.71776,0.7867,0.50145,0.70463,0.72375,0.78821,0.75605,1.18438,0.34342,0.04202,0.99346,1.09671,0.00901,0.00901,0.00901
17,978.2,1.38969,0.77876,0.16465,1.13611,1.14508,0.67975,0.76511,0.76294,0.50224,0.68069,0.76617,0.76239,0.73906,1.12923,0.33271,0.03415,1.00071,1.08207,0.008944,0.008944,0.008944
18,1035.63,1.34051,0.71164,0.15921,1.12841,1.13877,0.65134,0.7611,0.76701,0.52356,0.65495,0.76533,0.76861,0.74189,1.07874,0.3287,0.03107,0.95575,1.05639,0.008878,0.008878,0.008878
19,1092.73,1.35787,0.71839,0.14982,1.1135,1.12959,0.68216,0.75581,0.76926,0.52597,0.68216,0.75581,0.76995,0.74774,1.09846,0.32558,0.02726,0.99562,1.04896,0.008812,0.008812,0.008812
20,1150.6,1.33415,0.67946,0.13672,1.08748,1.12471,0.7026,0.75159,0.79535,0.54106,0.70512,0.75327,0.79507,0.77157,1.09027,0.31113,0.03139,0.93206,1.06078,0.008746,0.008746,0.008746
21,1207.8,1.30771,0.683,0.13874,1.07144,1.11492,0.71435,0.73573,0.79265,0.52625,0.71926,0.73467,0.78944,0.76672,1.13619,0.30704,0.0264,0.93977,1.05503,0.00868,0.00868,0.00868
22,1265.28,1.29896,0.66904,0.13364,1.05795,1.11375,0.7082,0.7389,0.77815,0.53458,0.70814,0.73355,0.77412,0.75536,1.06751,0.30284,0.026,0.98583,1.05118,0.008614,0.008614,0.008614
23,1322.69,1.28953,0.6555,0.13104,1.05906,1.09933,0.69133,0.77378,0.78429,0.48474,0.69074,0.77907,0.78777,0.76338,1.25098,0.30107,0.02144,0.94899,1.09761,0.008548,0.008548,0.008548
24,1380.08,1.28572,0.627,0.12875,1.04729,1.10611,0.66413,0.78013,0.77205,0.52872,0.66784,0.78213,0.77808,0.75693,1.08153,0.26551,0.02314,0.95558,1.04121,0.008482,0.008482,0.008482
25,1437.62,1.27034,0.61694,0.12315,1.03298,1.09701,0.69297,0.77063,0.7946,0.54974,0.69466,0.76476,0.78965,0.77325,1.04728,0.27826,0.02164,0.91215,1.0361,0.008416,0.008416,0.008416
26,1494.69,1.26616,0.62906,0.12315,1.03049,1.08954,0.68737,0.78555,0.79879,0.54429,0.69014,0.78872,0.79901,0.77844,1.07264,0.27846,0.01904,0.91559,1.03237,0.00835,0.00835,0.00835
27,1551.95,1.26557,0.61188,0.11826,1.04433,1.08905,0.70561,0.75581,0.78926,0.53686,0.69288,0.76216,0.78751,0.76677,1.09771,0.27787,0.01611,0.94452,1.04728,0.008284,0.008284,0.008284
28,1609.7,1.24327,0.61139,0.11546,1.02351,1.08252,0.67656,0.78053,0.78663,0.55244,0.68312,0.78013,0.78742,0.77073,1.04756,0.24634,0.0203,0.88045,1.01791,0.008218,0.008218,0.008218
29,1667.73,1.26889,0.60919,0.11969,1.01765,1.08945,0.68625,0.80924,0.80919,0.57582,0.68715,0.8103,0.80954,0.79232,0.98522,0.24031,0.01791,0.89876,1.01305,0.008152,0.008152,0.008152
30,1725.22,1.24877,0.58552,0.11445,1.01387,1.0818,0.71909,0.79915,0.81859,0.56565,0.71305,0.79704,0.81339,0.79724,1.04798,0.27881,0.01712,0.89838,1.02229,0.008086,0.008086,0.008086
